"rows";"cols";"tiles";"n_tiles"
"15";"30";"[[1, 1], [1, 1], [1, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [4, 1], [6, 1], [14, 1], [19, 1], [26, 1], [30, 1], [2, 2], [2, 2], [3, 2], [17, 3], [6, 4], [30, 8]]";"20"
"24";"20";"[[2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [4, 1], [7, 1], [7, 1], [8, 1], [8, 1], [9, 1], [9, 1], [10, 1], [10, 1], [3, 2], [5, 2], [9, 2], [10, 2], [8, 5], [19, 16]]";"20"
"21";"24";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [4, 1], [4, 1], [5, 1], [5, 1], [5, 1], [5, 1], [15, 1], [20, 1], [4, 2], [3, 3], [20, 3], [7, 4], [20, 16]]";"20"
"12";"38";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [4, 1], [11, 1], [15, 1], [3, 2], [6, 2], [14, 2], [26, 2], [26, 2], [26, 2], [38, 2], [6, 4], [16, 4], [8, 6]]";"20"
"36";"34";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [6, 1], [16, 1], [24, 1], [24, 1], [30, 1], [13, 2], [4, 4], [9, 4], [17, 4], [35, 4], [16, 5], [22, 5], [9, 7], [24, 24]]";"20"
"25";"18";"[[1, 1], [2, 1], [2, 1], [8, 1], [8, 1], [9, 1], [9, 1], [11, 1], [12, 1], [16, 1], [16, 1], [12, 2], [16, 2], [18, 2], [5, 3], [18, 3], [12, 4], [18, 4], [6, 5], [9, 5]]";"20"
"29";"12";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [8, 1], [8, 1], [9, 1], [10, 1], [11, 1], [13, 1], [7, 4], [7, 4], [8, 5], [16, 11]]";"20"
"37";"13";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [5, 1], [5, 1], [8, 1], [10, 1], [20, 1], [36, 1], [8, 2], [24, 2], [24, 2], [11, 3], [25, 3], [8, 4], [24, 4], [7, 6]]";"20"
"39";"40";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [5, 1], [9, 1], [24, 1], [9, 2], [10, 2], [25, 2], [27, 2], [27, 2], [13, 6], [13, 7], [25, 7], [38, 7], [16, 13], [25, 20]]";"20"
"11";"31";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [7, 1], [7, 1], [9, 1], [3, 2], [4, 2], [21, 2], [7, 3], [7, 4], [15, 4], [27, 5]]";"20"
"29";"31";"[[3, 1], [5, 1], [11, 1], [13, 1], [16, 1], [16, 1], [16, 1], [3, 2], [4, 2], [7, 2], [9, 2], [9, 2], [16, 2], [4, 3], [5, 4], [6, 5], [12, 5], [16, 7], [11, 9], [30, 13]]";"20"
"26";"25";"[[1, 1], [4, 1], [4, 1], [5, 1], [7, 1], [10, 1], [10, 1], [12, 1], [16, 1], [16, 1], [20, 1], [21, 1], [21, 1], [21, 2], [21, 2], [21, 2], [9, 5], [9, 5], [21, 7], [14, 10]]";"20"
"10";"34";"[[1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [7, 1], [7, 1], [12, 1], [15, 1], [16, 1], [2, 2], [4, 2], [5, 2], [7, 2], [9, 2], [14, 6], [20, 6]]";"20"
"13";"22";"[[1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [6, 1], [9, 1], [16, 1], [18, 1], [20, 1], [3, 2], [6, 2], [22, 2], [6, 3], [12, 3], [9, 4], [9, 5]]";"20"
"29";"40";"[[2, 1], [2, 1], [2, 1], [13, 1], [13, 1], [4, 2], [4, 2], [9, 2], [6, 3], [9, 3], [13, 3], [13, 4], [15, 5], [22, 5], [7, 6], [7, 7], [9, 7], [13, 7], [16, 7], [26, 16]]";"20"
"19";"39";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [10, 1], [10, 1], [11, 1], [14, 1], [16, 1], [38, 2], [24, 3], [14, 8], [29, 14]]";"20"
"12";"14";"[[1, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [4, 1], [5, 1], [5, 1], [6, 1], [9, 1], [14, 1], [2, 2], [3, 2], [3, 2], [4, 2], [3, 3], [11, 6]]";"20"
"34";"23";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [8, 1], [8, 1], [9, 1], [9, 1], [19, 1], [19, 1], [33, 1], [33, 2], [33, 3], [33, 5], [33, 10]]";"20"
"18";"11";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [8, 1], [7, 3], [8, 8], [10, 8]]";"20"
"21";"39";"[[5, 1], [8, 1], [8, 1], [16, 1], [16, 1], [16, 1], [2, 2], [14, 2], [24, 2], [24, 2], [5, 3], [24, 3], [15, 4], [16, 4], [6, 5], [13, 5], [15, 5], [15, 5], [17, 5], [9, 9]]";"20"
"34";"36";"[[1, 1], [1, 1], [4, 1], [4, 1], [12, 1], [20, 1], [26, 1], [32, 1], [33, 1], [7, 2], [25, 2], [13, 3], [14, 3], [18, 3], [33, 3], [13, 6], [13, 6], [32, 6], [32, 7], [17, 13]]";"20"
"27";"35";"[[2, 1], [3, 1], [3, 1], [3, 1], [5, 1], [9, 1], [14, 1], [18, 1], [35, 1], [35, 1], [6, 2], [8, 2], [11, 2], [11, 2], [6, 3], [6, 3], [15, 5], [8, 6], [22, 6], [35, 13]]";"20"
"26";"27";"[[1, 1], [1, 1], [2, 1], [3, 1], [9, 1], [10, 1], [10, 1], [10, 1], [16, 1], [16, 1], [16, 1], [5, 2], [10, 3], [10, 4], [8, 5], [8, 5], [14, 5], [16, 5], [16, 8], [17, 10]]";"20"
"21";"29";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [4, 1], [5, 1], [8, 1], [8, 1], [8, 1], [2, 2], [4, 2], [4, 2], [5, 4], [5, 4], [24, 5], [6, 6], [22, 7], [22, 9]]";"20"
"32";"19";"[[4, 1], [5, 1], [7, 1], [7, 1], [9, 1], [9, 1], [11, 1], [12, 1], [16, 1], [16, 1], [18, 1], [4, 2], [7, 3], [5, 4], [16, 4], [12, 5], [9, 6], [8, 7], [10, 9], [11, 11]]";"20"
"12";"26";"[[1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [6, 1], [6, 1], [22, 1], [22, 1], [2, 2], [2, 2], [2, 2], [5, 2], [4, 3], [6, 3], [5, 4], [19, 4], [6, 6], [10, 6]]";"20"
"24";"10";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [7, 1], [8, 1], [8, 1], [16, 1], [3, 2], [4, 2], [4, 3], [7, 3], [8, 3], [16, 3], [16, 3], [5, 4]]";"20"
"30";"18";"[[1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [4, 1], [6, 1], [9, 1], [11, 1], [12, 1], [4, 2], [14, 2], [4, 3], [9, 3], [10, 4], [14, 4], [10, 5], [15, 6], [9, 7], [16, 7]]";"20"
"28";"18";"[[2, 1], [4, 1], [9, 1], [10, 1], [10, 1], [12, 1], [14, 1], [16, 1], [16, 1], [17, 1], [7, 2], [9, 2], [16, 2], [3, 3], [4, 3], [4, 3], [6, 4], [17, 4], [15, 7], [10, 10]]";"20"
"17";"25";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [8, 1], [14, 1], [14, 1], [16, 1], [16, 1], [16, 1], [20, 1], [19, 16]]";"20"
"28";"28";"[[1, 1], [3, 1], [6, 1], [6, 1], [10, 1], [11, 1], [12, 1], [16, 1], [22, 1], [22, 1], [22, 1], [5, 2], [16, 2], [5, 3], [16, 3], [12, 5], [7, 6], [13, 6], [16, 6], [17, 16]]";"20"
"30";"12";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 1], [8, 1], [9, 1], [9, 2], [16, 2], [4, 3], [4, 4], [6, 4], [6, 4], [14, 4], [16, 4], [12, 6]]";"20"
"13";"31";"[[1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [6, 1], [6, 1], [9, 1], [15, 1], [21, 1], [31, 1], [3, 2], [5, 2], [21, 2], [22, 2], [26, 2], [10, 3], [22, 4], [6, 5]]";"20"
"20";"30";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [6, 1], [7, 1], [9, 1], [9, 1], [15, 2], [16, 2], [16, 2], [8, 3], [16, 3], [20, 4], [9, 6], [15, 6], [7, 7], [15, 8]]";"20"
"34";"24";"[[1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [8, 1], [8, 1], [13, 1], [15, 1], [18, 1], [21, 1], [33, 1], [3, 2], [9, 2], [11, 2], [33, 19]]";"20"
"16";"10";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [9, 1], [10, 1], [10, 1], [3, 2], [4, 2], [5, 2], [10, 3], [4, 4], [10, 4]]";"20"
"13";"20";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [4, 1], [4, 1], [4, 1], [5, 1], [6, 1], [7, 1], [14, 1], [20, 1], [2, 2], [4, 2], [7, 3], [5, 4], [8, 4], [6, 6], [10, 7]]";"20"
"38";"24";"[[1, 1], [2, 1], [2, 1], [7, 1], [7, 1], [8, 1], [12, 1], [12, 1], [12, 1], [17, 1], [22, 1], [36, 1], [37, 1], [2, 2], [2, 2], [13, 2], [27, 4], [37, 5], [14, 10], [27, 10]]";"20"
"23";"37";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [4, 1], [4, 1], [5, 1], [7, 1], [9, 1], [16, 1], [16, 1], [9, 2], [37, 7], [16, 9], [22, 16]]";"20"
"33";"28";"[[2, 1], [2, 1], [4, 1], [7, 1], [11, 1], [12, 1], [13, 1], [13, 1], [17, 1], [17, 1], [17, 2], [11, 4], [10, 5], [11, 5], [22, 5], [7, 6], [9, 7], [12, 7], [16, 11], [14, 12]]";"20"
"38";"34";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [9, 1], [37, 4], [37, 4], [37, 26]]";"20"
"38";"33";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [5, 1], [21, 1], [24, 1], [35, 1], [35, 1], [2, 2], [35, 2], [25, 4], [37, 4], [25, 9], [24, 24]]";"20"
"16";"26";"[[1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [8, 1], [8, 1], [9, 1], [10, 1], [10, 1], [14, 1], [26, 1], [2, 2], [4, 2], [5, 2], [4, 3], [22, 4], [5, 5], [13, 5], [22, 5]]";"20"
"30";"22";"[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [8, 1], [8, 1], [9, 1], [14, 1], [14, 1], [16, 1], [4, 2], [14, 2], [7, 3], [14, 3], [20, 4], [8, 5], [14, 5], [7, 6], [20, 12]]";"20"
"21";"21";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [5, 1], [5, 1], [11, 1], [11, 1], [16, 1], [16, 1], [4, 2], [4, 2], [4, 3], [7, 3], [4, 4], [16, 6], [16, 13]]";"20"
"10";"17";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [3, 1], [6, 1], [6, 1], [10, 1], [10, 1], [13, 1], [13, 1], [15, 1], [17, 1], [4, 2], [7, 2], [10, 2], [13, 2]]";"20"
"37";"23";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [6, 1], [11, 1], [13, 1], [2, 2], [5, 2], [9, 2], [9, 4], [12, 4], [34, 4], [12, 5], [13, 6], [12, 9], [24, 13]]";"20"
"21";"15";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [5, 1], [10, 1], [11, 1], [16, 1], [16, 1], [16, 1], [5, 2], [5, 2], [11, 2], [4, 3], [4, 3], [7, 5], [16, 8]]";"20"
"34";"37";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [5, 1], [11, 1], [22, 1], [11, 2], [16, 2], [28, 2], [37, 3], [15, 4], [15, 7], [15, 9], [12, 11], [37, 15]]";"20"
"18";"38";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [5, 1], [6, 1], [16, 1], [22, 1], [34, 1], [9, 2], [34, 2], [4, 3], [12, 4], [34, 4], [34, 4], [8, 5], [26, 5]]";"20"
"21";"40";"[[1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [7, 1], [14, 1], [16, 1], [20, 1], [2, 2], [4, 2], [10, 2], [4, 3], [22, 3], [13, 4], [16, 14], [23, 16]]";"20"
"12";"40";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [6, 1], [11, 1], [16, 1], [21, 1], [25, 1], [36, 1], [5, 2], [8, 2], [9, 2], [10, 2], [10, 2], [7, 4], [40, 6]]";"20"
"34";"37";"[[1, 1], [1, 1], [2, 1], [4, 1], [4, 1], [7, 1], [9, 1], [33, 1], [3, 2], [4, 2], [8, 2], [13, 3], [14, 4], [8, 6], [11, 7], [16, 7], [20, 7], [22, 8], [33, 8], [17, 15]]";"20"
"12";"11";"[[1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [3, 1], [5, 1], [6, 1], [6, 1], [6, 1], [3, 2], [3, 2], [5, 2], [4, 3], [6, 3], [7, 3], [4, 4]]";"20"
"24";"30";"[[1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [5, 1], [7, 1], [8, 1], [10, 1], [14, 1], [16, 1], [16, 1], [4, 2], [5, 2], [5, 3], [15, 5], [9, 8], [28, 16]]";"20"
"15";"26";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [5, 1], [13, 1], [16, 1], [19, 1], [15, 3], [4, 4], [6, 4], [26, 9]]";"20"
"35";"29";"[[1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [5, 1], [10, 1], [16, 1], [24, 1], [34, 1], [16, 3], [16, 4], [34, 4], [34, 5], [24, 6], [10, 7], [34, 8]]";"20"
"34";"15";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [6, 1], [8, 1], [9, 1], [12, 1], [18, 1], [33, 1], [33, 1], [8, 2], [24, 4], [9, 8], [24, 8]]";"20"
"23";"16";"[[1, 1], [1, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [6, 1], [6, 1], [6, 1], [7, 1], [7, 1], [16, 1], [5, 2], [5, 2], [5, 2], [6, 2], [7, 2], [16, 5], [16, 10]]";"20"
"33";"35";"[[1, 1], [1, 1], [2, 1], [6, 1], [12, 1], [12, 1], [16, 1], [17, 1], [17, 1], [21, 1], [21, 1], [4, 2], [9, 2], [9, 2], [15, 2], [16, 2], [22, 2], [10, 6], [25, 11], [34, 16]]";"20"
"26";"13";"[[1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [5, 1], [6, 1], [10, 1], [16, 1], [16, 1], [6, 2], [8, 2], [15, 2], [16, 2], [16, 2], [6, 3], [10, 3], [5, 4], [16, 5]]";"20"
"36";"15";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [8, 1], [18, 1], [4, 2], [8, 2], [14, 2], [17, 3], [33, 3], [33, 3], [15, 6], [18, 6]]";"20"
"27";"11";"[[2, 1], [2, 1], [3, 1], [3, 1], [4, 1], [4, 1], [7, 1], [7, 1], [7, 1], [7, 1], [8, 1], [8, 1], [10, 1], [16, 1], [10, 2], [4, 3], [10, 3], [15, 3], [13, 4], [10, 5]]";"20"
"18";"28";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [4, 1], [5, 1], [6, 1], [6, 1], [7, 1], [8, 1], [11, 1], [12, 1], [19, 1], [21, 1], [7, 2], [13, 4], [16, 10], [14, 12]]";"20"
"12";"31";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [7, 1], [20, 1], [6, 2], [6, 2], [21, 2], [27, 3], [6, 4], [24, 6]]";"20"
"40";"38";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [6, 1], [9, 1], [14, 1], [14, 1], [15, 1], [23, 1], [38, 1], [10, 4], [27, 4], [38, 4], [38, 9], [37, 10], [38, 10]]";"20"
"28";"12";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [5, 1], [6, 1], [6, 1], [11, 1], [14, 1], [16, 1], [16, 1], [5, 2], [5, 2], [14, 6], [12, 12]]";"20"
"17";"32";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [7, 1], [11, 1], [12, 1], [15, 1], [16, 1], [16, 1], [16, 1], [16, 2], [16, 5], [16, 7], [16, 13]]";"20"
"14";"32";"[[1, 1], [2, 1], [2, 1], [2, 1], [4, 1], [4, 1], [4, 1], [5, 1], [6, 1], [6, 1], [7, 1], [11, 1], [18, 1], [26, 1], [5, 2], [6, 2], [6, 3], [8, 4], [24, 4], [26, 7]]";"20"
"32";"28";"[[2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [6, 1], [7, 1], [13, 1], [16, 1], [6, 2], [7, 2], [22, 2], [6, 3], [6, 3], [16, 4], [6, 5], [9, 6], [10, 6], [28, 8], [19, 16]]";"20"
"31";"25";"[[5, 1], [5, 1], [9, 1], [14, 1], [16, 1], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [7, 2], [16, 2], [5, 3], [7, 4], [10, 4], [16, 5], [9, 7], [11, 7], [13, 9], [15, 14]]";"20"
"31";"39";"[[1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [7, 1], [11, 1], [15, 1], [15, 1], [4, 2], [6, 3], [9, 3], [14, 4], [15, 6], [15, 6], [16, 9], [16, 10], [20, 15], [16, 16]]";"20"
"25";"34";"[[4, 1], [4, 1], [5, 1], [9, 1], [9, 1], [9, 1], [11, 1], [12, 1], [13, 1], [30, 1], [2, 2], [5, 2], [11, 2], [22, 2], [30, 4], [30, 4], [22, 5], [7, 7], [15, 9], [13, 10]]";"20"
"12";"11";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [6, 1], [11, 1], [11, 1], [3, 2], [4, 2], [6, 2], [6, 2], [11, 2], [6, 3]]";"20"
"34";"25";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [4, 1], [4, 1], [5, 1], [14, 1], [14, 1], [15, 1], [33, 1], [14, 2], [33, 2], [33, 2], [8, 4], [16, 4], [14, 5], [33, 5], [24, 11]]";"20"
"14";"31";"[[1, 1], [2, 1], [5, 1], [5, 1], [6, 1], [6, 1], [7, 1], [22, 1], [22, 1], [6, 2], [8, 2], [22, 2], [31, 2], [6, 3], [6, 3], [4, 4], [4, 4], [6, 4], [11, 4], [22, 4]]";"20"
"34";"33";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [7, 1], [10, 1], [19, 1], [20, 1], [20, 1], [13, 2], [13, 3], [20, 4], [10, 5], [10, 6], [20, 10], [20, 11], [13, 13], [15, 13]]";"20"
"28";"19";"[[1, 1], [2, 1], [3, 1], [3, 1], [7, 1], [9, 1], [11, 1], [12, 1], [12, 1], [16, 1], [2, 2], [9, 2], [4, 3], [12, 3], [7, 4], [16, 4], [7, 5], [9, 5], [12, 5], [14, 11]]";"20"
"22";"34";"[[1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [5, 1], [13, 1], [16, 1], [16, 1], [20, 1], [33, 1], [33, 1], [5, 2], [8, 3], [25, 3], [11, 4], [16, 5], [16, 10], [16, 13]]";"20"
"10";"24";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [6, 1], [7, 1], [9, 1], [22, 1], [24, 1], [24, 3], [9, 4], [11, 4]]";"20"
"31";"10";"[[2, 1], [2, 1], [2, 1], [5, 1], [6, 1], [9, 1], [10, 1], [16, 1], [2, 2], [3, 2], [3, 2], [3, 2], [4, 2], [6, 2], [4, 3], [8, 3], [11, 3], [15, 3], [8, 6], [9, 6]]";"20"
"26";"40";"[[1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1], [16, 1], [16, 1], [16, 3], [12, 4], [29, 8], [29, 8], [40, 10]]";"20"
"34";"10";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [4, 1], [4, 1], [4, 1], [5, 1], [5, 1], [7, 1], [9, 2], [9, 2], [9, 5], [10, 5], [10, 8], [10, 9]]";"20"
"19";"12";"[[1, 1], [2, 1], [3, 1], [4, 1], [4, 1], [6, 1], [6, 1], [7, 1], [11, 1], [12, 1], [12, 1], [12, 1], [16, 1], [16, 1], [16, 1], [4, 2], [5, 2], [6, 2], [11, 2], [16, 3]]";"20"
"34";"29";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [3, 1], [4, 1], [6, 1], [13, 1], [15, 1], [27, 1], [33, 1], [10, 3], [6, 4], [10, 4], [13, 6], [13, 6], [15, 6], [27, 10], [27, 10]]";"20"
"35";"26";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [6, 1], [19, 1], [19, 1], [19, 1], [19, 4], [15, 7], [34, 19]]";"20"
"27";"19";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [8, 1], [9, 1], [11, 1], [8, 2], [19, 2], [7, 3], [7, 3], [6, 5], [8, 5], [6, 6], [19, 14]]";"20"
"37";"24";"[[2, 1], [2, 1], [4, 1], [12, 1], [20, 1], [24, 1], [4, 2], [4, 2], [4, 2], [8, 2], [8, 2], [16, 2], [16, 2], [4, 4], [12, 4], [12, 4], [25, 4], [12, 5], [36, 6], [24, 9]]";"20"
"30";"14";"[[3, 1], [3, 1], [4, 1], [4, 1], [4, 1], [4, 1], [5, 1], [5, 1], [7, 1], [8, 1], [10, 1], [11, 1], [13, 1], [4, 3], [4, 4], [13, 4], [14, 4], [14, 4], [8, 7], [13, 7]]";"20"
"31";"15";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [10, 1], [10, 1], [12, 1], [14, 1], [15, 1], [4, 2], [5, 2], [5, 2], [10, 4], [15, 4], [15, 4], [6, 5], [16, 11]]";"20"
"23";"16";"[[1, 1], [3, 1], [4, 1], [4, 1], [4, 1], [6, 1], [6, 1], [7, 1], [7, 1], [7, 1], [7, 1], [7, 1], [8, 1], [7, 2], [7, 3], [16, 3], [8, 4], [7, 6], [8, 7], [12, 7]]";"20"
"27";"10";"[[1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [5, 1], [7, 1], [9, 1], [16, 1], [2, 2], [3, 2], [3, 2], [4, 2], [4, 2], [8, 3], [11, 3], [8, 7], [9, 8]]";"20"
"13";"13";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [6, 1], [6, 1], [2, 2], [2, 2], [4, 2], [9, 2], [9, 3], [4, 4], [7, 4], [9, 4]]";"20"
"13";"20";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [3, 1], [3, 1], [4, 1], [10, 1], [19, 1], [3, 2], [4, 2], [6, 2], [6, 2], [7, 2], [5, 3], [7, 3], [20, 6]]";"20"
"24";"27";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [2, 1], [3, 1], [4, 1], [10, 1], [10, 1], [11, 1], [16, 1], [6, 2], [7, 2], [16, 3], [16, 5], [10, 6], [23, 16]]";"20"
"39";"15";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [6, 1], [9, 1], [11, 1], [19, 1], [38, 1], [38, 1], [5, 2], [5, 2], [8, 4], [8, 8], [13, 12], [15, 12]]";"20"
"24";"34";"[[2, 1], [4, 1], [4, 1], [7, 1], [8, 1], [8, 1], [8, 1], [8, 1], [8, 1], [16, 1], [6, 2], [7, 2], [8, 2], [16, 2], [7, 3], [9, 3], [8, 5], [15, 5], [33, 8], [22, 11]]";"20"
"35";"40";"[[1, 1], [1, 1], [2, 1], [2, 1], [3, 1], [4, 1], [7, 1], [19, 1], [20, 1], [24, 1], [34, 1], [4, 2], [8, 2], [21, 2], [25, 2], [8, 3], [24, 6], [13, 9], [21, 10], [28, 24]]";"20"
"18";"22";"[[2, 1], [2, 1], [3, 1], [6, 1], [7, 1], [8, 1], [11, 1], [16, 1], [2, 2], [3, 2], [5, 2], [7, 2], [8, 2], [10, 2], [11, 2], [10, 3], [5, 5], [16, 5], [8, 6], [11, 6]]";"20"
"12";"21";"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [21, 2], [7, 3], [5, 4], [5, 4], [6, 4], [6, 4], [7, 5], [6, 6]]";"20"
"38";"38";"[[1, 1], [1, 1], [2, 1], [2, 1], [2, 1], [11, 1], [11, 1], [37, 1], [38, 1], [4, 2], [4, 2], [6, 2], [7, 2], [8, 2], [10, 2], [20, 2], [37, 3], [37, 6], [37, 9], [37, 15]]";"20"
"29";"29";"[[1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 1], [6, 1], [14, 1], [14, 1], [28, 1], [3, 2], [7, 3], [14, 3], [28, 4], [13, 7], [28, 7], [18, 16]]";"20"
"31";"25";"[[1, 1], [1, 1], [3, 1], [6, 1], [13, 1], [13, 1], [13, 1], [8, 2], [8, 2], [13, 2], [7, 3], [16, 4], [7, 5], [8, 5], [15, 5], [12, 6], [13, 6], [15, 6], [9, 8], [15, 8]]";"20"
"20";"11";"[[1, 1], [1, 1], [2, 1], [3, 1], [3, 1], [3, 1], [3, 1], [4, 1], [4, 1], [5, 1], [7, 1], [8, 1], [8, 1], [12, 1], [14, 1], [3, 2], [16, 2], [6, 4], [8, 5], [8, 5]]";"20"
